club_name,league,annual_revenue_eur_m,wage_to_revenue,operating_cash_flow_eur_m,debt_to_assets,regulatory_headroom_eur_m,uefa_coefficient_trend,league_position_trend,broadcast_revenue_share,payment_timeliness_score,management_tenure_years,true_pd,defaulted
KV Scheldebrug,Belgian Pro League,42.0,0.964,-0.5,0.386,10.2,8.35,-3.21,0.44,0.359,11.8,0.2797,1
SV Rheinfelden,Bundesliga,118.1,0.974,0.8,0.782,-2.4,-6.92,-2.55,0.592,0.529,10.3,0.4973,1
FC Walloon Rovers,Belgian Pro League,56.1,0.758,31.5,0.391,40.6,4.62,7.67,0.556,0.628,5.9,0.0026,0
KV Scheldebrug,Belgian Pro League,157.3,0.686,59.3,0.259,14.4,-10.56,-1.69,0.644,0.194,11.1,0.01,1
RKC Zandvoort-Noord,Eredivisie,40.3,0.942,7.8,0.271,-5.3,-0.14,1.97,0.671,0.994,7.5,0.0167,0
FC Maasdijk,Eredivisie,114.3,0.839,-18.2,0.235,21.1,-14.92,7.5,0.295,0.204,11.9,0.0471,0
AFC Kanaalstad,Eredivisie,79.0,0.881,29.9,0.349,16.1,-9.19,-1.48,0.395,0.01,3.3,0.5835,1
KAS Dendermonde-West,Belgian Pro League,68.5,0.846,7.7,0.622,38.8,3.95,7.67,0.543,0.944,12.0,0.0007,0
RFC Lysveld,Belgian Pro League,126.0,0.933,34.4,0.211,28.9,11.23,-7.27,0.223,0.429,2.2,0.004,0
Borussia Talheim,Bundesliga,122.0,0.631,3.4,0.385,47.0,-13.53,-2.7,0.558,0.399,4.2,0.0123,0
Royal Ardennes FC,Belgian Pro League,51.4,0.854,-26.1,0.279,31.6,1.76,-8.11,0.202,0.276,11.2,0.0298,0
Union Kempen,Belgian Pro League,159.9,0.597,13.0,0.438,34.0,4.1,1.22,0.657,0.026,4.4,0.0173,0
VV Polderkamp,Eredivisie,122.9,0.744,36.4,0.232,21.0,12.97,9.15,0.559,0.265,2.5,0.006,0
KVC Houtland,Belgian Pro League,89.0,0.893,8.4,0.609,45.6,4.65,3.14,0.483,0.393,0.7,0.0243,0
Borussia Talheim,Bundesliga,200.0,0.753,8.1,0.598,48.2,-11.91,2.52,0.414,0.52,1.8,0.0252,0
TSV Mooshausen,Bundesliga,104.9,0.738,15.7,0.68,42.1,-10.6,-4.44,0.694,0.458,4.3,0.0558,0
VV Polderkamp,Eredivisie,183.5,0.964,47.2,0.31,30.7,4.07,8.62,0.568,0.879,5.1,0.0027,0
KV Scheldebrug,Belgian Pro League,88.0,0.95,-12.8,0.777,19.3,-8.53,-0.57,0.604,0.911,6.5,0.1789,0
FC Nordhafen,Bundesliga,47.9,0.841,26.6,0.686,3.6,12.85,-4.66,0.613,0.317,9.8,0.2501,0
AFC Kanaalstad,Eredivisie,136.2,1.02,35.1,0.23,35.0,12.62,9.75,0.211,0.96,0.2,0.0003,0
SpVgg Lindenau,Bundesliga,113.0,0.757,9.5,0.489,-8.8,13.46,-1.54,0.227,0.865,10.1,0.0011,0
VV Polderkamp,Eredivisie,85.9,0.959,52.5,0.714,-2.0,-6.21,-2.57,0.299,0.928,6.9,0.0205,0
FC Hertenbos,Eredivisie,76.4,0.641,45.5,0.427,18.3,6.51,-9.3,0.528,0.706,9.1,0.0021,0
FC Nordhafen,Bundesliga,172.0,0.658,12.3,0.417,28.8,4.89,-6.43,0.512,0.198,9.1,0.0407,0
SK Meerhout,Belgian Pro League,88.5,0.724,-19.5,0.624,25.2,-13.93,6.18,0.363,0.195,10.8,0.1785,0
VV Polderkamp,Eredivisie,142.0,0.578,8.1,0.226,6.6,-7.03,-0.35,0.686,0.909,1.1,0.0004,0
Borussia Talheim,Bundesliga,167.9,0.772,3.2,0.794,-3.6,-8.8,9.1,0.247,0.507,6.9,0.2204,0
FC Hertenbos,Eredivisie,141.8,0.623,26.5,0.302,8.0,-3.88,-8.32,0.588,0.89,10.9,0.0011,0
KV Scheldebrug,Belgian Pro League,277.6,0.79,71.1,0.13,10.5,13.59,2.32,0.44,0.721,8.6,0.001,0
RFC Lysveld,Belgian Pro League,106.3,0.639,47.2,0.214,-5.0,10.37,4.4,0.409,0.213,1.2,0.0092,0
SpVgg Lindenau,Bundesliga,67.9,0.622,-0.8,0.488,36.3,-6.2,2.42,0.213,0.385,7.4,0.0031,0
RFC Lysveld,Belgian Pro League,157.6,1.02,19.2,0.747,-2.7,0.9,0.6,0.564,0.968,9.6,0.1552,0
TSV Mooshausen,Bundesliga,145.5,0.864,-12.4,0.713,8.3,-9.23,1.57,0.586,0.02,3.3,0.9571,1
FC Nordhafen,Bundesliga,59.8,1.048,16.6,0.821,1.7,-6.68,3.79,0.359,0.715,7.6,0.6325,1
Olympia Dollard,Eredivisie,137.0,0.78,-11.3,0.535,20.5,-13.05,7.27,0.458,0.979,10.1,0.0031,0
KVC Houtland,Belgian Pro League,134.7,0.544,55.8,0.482,48.7,4.28,-3.27,0.503,0.104,6.3,0.0079,0
Sparta Veenendaal,Eredivisie,146.7,0.82,51.7,0.435,-2.4,4.71,-0.81,0.384,0.272,2.3,0.122,0
FC Walloon Rovers,Belgian Pro League,145.2,0.812,1.2,0.218,9.3,10.16,2.72,0.508,0.547,6.6,0.0045,0
Royal Ardennes FC,Belgian Pro League,59.8,0.569,28.5,0.819,37.9,11.15,-3.72,0.417,0.844,7.1,0.0006,0
KVC Houtland,Belgian Pro League,79.9,1.0,20.8,0.543,-14.3,-10.2,-6.42,0.639,0.507,4.8,0.856,1
SpVgg Lindenau,Bundesliga,175.4,0.83,50.0,0.462,38.1,7.29,9.32,0.559,0.06,8.2,0.0092,0
SV Rheinfelden,Bundesliga,49.6,0.954,10.1,0.573,42.2,-10.96,-6.11,0.255,0.127,5.2,0.3266,1
FC Hertenbos,Eredivisie,267.3,0.722,13.9,0.627,28.1,-3.79,-5.35,0.6,0.376,10.5,0.1546,0
Sparta Veenendaal,Eredivisie,97.3,0.866,28.4,0.359,44.6,0.47,2.37,0.369,0.323,9.5,0.0115,0
KVC Houtland,Belgian Pro League,68.7,0.691,-18.1,0.686,17.4,-13.52,-8.45,0.668,0.22,9.7,0.7067,1
FC Maasdijk,Eredivisie,188.0,1.008,34.8,0.619,7.7,-10.3,-9.32,0.502,0.84,6.3,0.288,0
RFC Lysveld,Belgian Pro League,179.8,0.714,5.2,0.712,-1.8,-6.87,-8.72,0.214,0.027,2.4,0.7143,0
KV Scheldebrug,Belgian Pro League,115.0,0.62,33.9,0.211,-3.1,-11.17,-7.53,0.567,0.829,8.7,0.0072,0
VV Polderkamp,Eredivisie,111.1,0.567,44.5,0.317,11.1,13.02,-1.42,0.265,0.922,0.8,0.0001,0
Union Kempen,Belgian Pro League,119.6,0.865,-9.8,0.505,15.9,-6.35,6.59,0.639,0.63,6.2,0.1739,0
VV Polderkamp,Eredivisie,75.0,1.066,7.3,0.773,11.5,0.04,-3.16,0.674,0.625,0.6,0.9186,1
VV Polderkamp,Eredivisie,242.1,0.943,52.7,0.751,-2.1,14.9,-1.45,0.548,0.149,6.3,0.228,0
VfL Donaustein,Bundesliga,202.0,0.861,4.1,0.537,24.1,2.0,2.01,0.466,0.568,8.2,0.0588,0
FC Maasdijk,Eredivisie,181.7,1.02,32.7,0.303,-6.7,-2.66,-3.96,0.501,0.375,5.0,0.527,1
FC Maasdijk,Eredivisie,191.5,0.876,41.9,0.28,6.5,12.89,-1.35,0.414,0.229,5.0,0.0508,0
FC Nordhafen,Bundesliga,112.0,0.714,8.2,0.617,3.6,-8.33,-2.27,0.242,0.583,1.5,0.0785,0
KVC Houtland,Belgian Pro League,39.5,0.884,36.4,0.383,28.5,-9.61,-3.16,0.664,0.001,3.6,0.2624,0
SC Lindehoven,Eredivisie,54.0,0.606,13.3,0.595,26.2,1.06,-2.23,0.365,0.276,5.3,0.0442,0
SpVgg Lindenau,Bundesliga,141.9,0.639,32.6,0.725,38.4,-2.18,-9.78,0.356,0.656,10.4,0.002,0
FC Nordhafen,Bundesliga,56.7,0.78,-14.8,0.488,-6.7,8.91,7.73,0.296,0.455,10.8,0.0427,0
SC Lindehoven,Eredivisie,148.9,0.625,-13.0,0.429,20.1,-13.74,9.55,0.696,0.146,11.4,0.1271,0
VV Polderkamp,Eredivisie,66.2,1.054,-20.7,0.257,39.4,3.53,7.25,0.671,0.001,1.2,0.3325,1
TSV Mooshausen,Bundesliga,134.9,1.044,53.1,0.357,-15.1,6.32,-9.89,0.375,0.27,3.6,0.785,0
KV Scheldebrug,Belgian Pro League,108.4,0.732,48.4,0.656,16.4,14.16,5.02,0.33,0.549,5.6,0.0028,0
RKC Zandvoort-Noord,Eredivisie,80.6,0.921,39.3,0.456,-12.1,-10.63,1.46,0.603,0.535,7.7,0.1184,0
TSV Mooshausen,Bundesliga,142.3,0.735,-0.2,0.291,0.0,-7.61,-8.12,0.411,0.131,8.4,0.1404,0
Borussia Talheim,Bundesliga,217.4,0.561,33.7,0.215,24.3,12.97,8.66,0.684,0.614,9.4,0.0001,0
Royal Ardennes FC,Belgian Pro League,230.1,0.658,56.1,0.201,3.1,3.92,5.52,0.651,0.999,6.0,0.0002,0
RKC Zandvoort-Noord,Eredivisie,68.8,0.679,27.7,0.654,24.1,-13.86,-7.09,0.58,0.585,6.7,0.0322,0
KV Scheldebrug,Belgian Pro League,121.3,0.704,-9.2,0.594,47.6,-12.68,9.28,0.245,0.528,11.5,0.0066,0
RFC Lysveld,Belgian Pro League,132.6,0.64,52.2,0.527,6.2,8.56,-7.48,0.551,0.623,2.9,0.0043,0
VfL Donaustein,Bundesliga,191.8,0.559,2.6,0.482,3.1,2.02,-0.91,0.694,0.88,9.6,0.0009,0
Royal Ardennes FC,Belgian Pro League,68.8,0.67,-11.0,0.33,42.7,1.96,-6.82,0.387,0.946,8.5,0.0008,0
Sparta Veenendaal,Eredivisie,192.6,0.971,59.7,0.482,11.6,11.4,-7.0,0.641,0.041,1.7,0.4556,0
Union Kempen,Belgian Pro League,80.2,0.596,14.4,0.264,48.5,-7.77,9.36,0.404,0.205,11.1,0.0029,0
Olympia Dollard,Eredivisie,136.3,0.695,12.4,0.786,10.8,-10.19,1.44,0.686,0.116,10.3,0.4233,0
Sparta Veenendaal,Eredivisie,150.2,0.794,28.0,0.223,27.1,3.41,-4.82,0.527,0.772,9.4,0.0015,0
VfL Donaustein,Bundesliga,94.9,0.73,54.4,0.488,46.8,11.47,5.53,0.248,0.046,1.5,0.0049,0
FC Waldkirchen,Bundesliga,121.5,0.802,-8.8,0.202,-0.5,-7.04,7.5,0.44,0.903,1.7,0.0053,0
Borussia Talheim,Bundesliga,88.7,0.571,36.4,0.724,44.3,5.44,8.35,0.225,0.021,8.2,0.024,0
RFC Lysveld,Belgian Pro League,175.9,0.845,14.1,0.277,25.7,-10.43,8.66,0.398,0.603,1.3,0.0118,0
SC Eichberg,Bundesliga,72.3,0.849,-14.8,0.822,36.5,-9.84,8.11,0.658,0.276,1.4,0.674,1
SV Rheinfelden,Bundesliga,42.0,0.924,5.1,0.276,-4.3,12.05,2.78,0.316,0.471,4.8,0.049,0
RFC Lysveld,Belgian Pro League,187.0,0.797,31.9,0.69,15.4,-11.46,-3.15,0.675,0.442,0.1,0.5926,1
FC Waldkirchen,Bundesliga,116.1,0.763,-2.8,0.625,-1.9,-14.27,8.51,0.25,0.749,8.7,0.0138,0
FC Walloon Rovers,Belgian Pro League,87.3,0.731,9.1,0.381,49.0,8.25,-7.55,0.532,0.497,6.5,0.0068,0
KVC Houtland,Belgian Pro League,127.4,0.648,31.6,0.328,-2.3,-4.12,-6.62,0.683,0.421,0.9,0.0521,0
Borussia Talheim,Bundesliga,137.2,0.786,28.2,0.422,-6.4,-3.1,-1.32,0.527,0.73,6.5,0.0158,0
SK Meerhout,Belgian Pro League,96.0,0.558,34.6,0.747,50.6,9.0,-4.33,0.65,0.926,0.6,0.0008,0
KV Scheldebrug,Belgian Pro League,147.3,0.692,49.4,0.739,10.6,-9.6,2.31,0.696,0.794,0.8,0.0042,0
KAS Dendermonde-West,Belgian Pro League,102.8,0.894,11.3,0.325,22.2,4.51,8.11,0.521,0.737,5.8,0.0041,0
Borussia Talheim,Bundesliga,72.1,0.612,8.7,0.456,12.3,-5.59,-0.18,0.591,0.488,6.0,0.0183,0
FC Waldkirchen,Bundesliga,129.0,0.562,21.1,0.35,35.5,-11.87,1.08,0.216,0.9,4.1,0.0012,0
FC Hertenbos,Eredivisie,92.4,0.886,22.1,0.297,-1.9,5.62,-1.54,0.414,0.486,7.5,0.0929,0
FC Nordhafen,Bundesliga,24.8,0.785,-21.1,0.671,17.2,-5.44,4.15,0.344,0.93,4.6,0.0274,0
FC Nordhafen,Bundesliga,172.5,0.926,12.0,0.394,17.4,11.0,-7.99,0.612,0.803,7.0,0.0205,0
TSV Mooshausen,Bundesliga,168.5,0.998,0.7,0.319,3.1,12.57,-9.03,0.539,0.15,4.2,0.8889,1
Olympia Dollard,Eredivisie,159.4,1.013,16.1,0.735,-2.2,10.47,2.83,0.507,0.047,8.6,0.859,1
TSV Mooshausen,Bundesliga,84.2,0.771,52.5,0.702,-1.5,-5.33,0.7,0.666,0.741,7.0,0.0102,0
SC Eichberg,Bundesliga,125.0,0.669,27.2,0.695,35.6,-7.9,-1.85,0.244,0.686,1.9,0.0016,0
VV Polderkamp,Eredivisie,59.5,0.878,7.7,0.262,-3.1,11.78,-3.32,0.677,0.602,8.2,0.0495,0
SpVgg Lindenau,Bundesliga,104.3,0.868,23.5,0.798,4.7,-1.41,-8.96,0.25,0.976,9.4,0.0368,1
KAS Dendermonde-West,Belgian Pro League,106.7,0.863,31.7,0.578,7.5,6.23,3.61,0.374,0.545,0.8,0.0229,0
Olympia Dollard,Eredivisie,178.9,0.674,22.2,0.492,20.4,9.81,-1.57,0.515,0.348,7.3,0.0292,0
FC Waldkirchen,Bundesliga,31.3,0.608,5.8,0.26,37.3,-6.67,-1.09,0.371,0.565,9.5,0.0007,0
FC Maasdijk,Eredivisie,198.8,0.606,45.1,0.732,20.9,-11.43,7.87,0.541,0.028,1.4,0.0784,0
VfL Donaustein,Bundesliga,141.9,0.604,-10.9,0.538,47.5,3.74,4.75,0.588,0.579,10.8,0.0029,0
TSV Mooshausen,Bundesliga,120.5,0.598,23.4,0.731,36.2,2.71,-5.61,0.614,0.902,5.0,0.0047,0
KAS Dendermonde-West,Belgian Pro League,177.8,0.988,30.7,0.589,33.7,-6.89,3.14,0.29,0.004,8.9,0.1876,0
Union Kempen,Belgian Pro League,170.1,0.518,46.0,0.684,40.9,2.54,-7.35,0.291,0.845,10.8,0.0003,0
SK Meerhout,Belgian Pro League,99.3,0.856,55.0,0.658,-3.6,8.71,-6.12,0.226,0.802,11.9,0.0083,0
RKC Zandvoort-Noord,Eredivisie,182.0,0.997,50.4,0.757,41.8,-4.5,4.28,0.445,0.106,7.0,0.1394,0
Sparta Veenendaal,Eredivisie,134.2,0.714,22.2,0.339,39.1,-7.73,-7.48,0.269,0.847,8.5,0.0008,0
Borussia Talheim,Bundesliga,131.4,0.802,-3.8,0.326,23.5,6.75,-4.4,0.359,0.764,3.0,0.0059,0
FC Nordhafen,Bundesliga,248.2,0.836,42.2,0.586,-2.0,8.58,7.96,0.62,0.491,3.5,0.0277,1
AFC Kanaalstad,Eredivisie,232.9,0.646,59.3,0.459,4.3,13.63,4.77,0.674,0.245,10.2,0.0149,0
Borussia Talheim,Bundesliga,233.1,0.729,66.9,0.522,28.3,-10.57,8.59,0.611,0.288,4.8,0.0082,0
FC Maasdijk,Eredivisie,73.7,0.98,39.9,0.683,8.7,11.68,7.64,0.2,0.612,9.9,0.0137,0
FC Hertenbos,Eredivisie,179.4,0.894,3.3,0.519,26.9,7.95,-3.75,0.484,0.246,0.6,0.4523,1
SV Rheinfelden,Bundesliga,159.3,0.936,41.3,0.685,7.4,6.06,2.65,0.283,0.325,2.6,0.1315,0
AFC Kanaalstad,Eredivisie,122.6,1.046,49.9,0.405,12.4,-5.61,-2.43,0.388,0.931,2.0,0.0233,0
FC Hertenbos,Eredivisie,88.1,0.741,30.5,0.771,2.3,-14.33,3.94,0.414,0.729,6.3,0.013,0
SpVgg Lindenau,Bundesliga,55.5,0.952,27.0,0.309,-6.1,0.23,-3.03,0.671,0.736,1.0,0.387,0
KVC Houtland,Belgian Pro League,141.4,0.837,22.8,0.596,-7.4,-6.43,-9.97,0.517,0.956,4.1,0.1858,0
SK Meerhout,Belgian Pro League,156.1,0.863,35.1,0.752,36.5,-6.31,-8.12,0.334,0.006,11.8,0.2717,0
Olympia Dollard,Eredivisie,128.9,0.914,5.5,0.36,19.0,12.81,5.42,0.521,0.244,9.5,0.0703,0
FC Walloon Rovers,Belgian Pro League,116.7,0.925,-11.8,0.414,42.2,-10.41,-8.32,0.676,0.658,9.1,0.0323,0
TSV Mooshausen,Bundesliga,103.5,1.002,43.6,0.408,28.0,13.03,1.99,0.23,0.438,1.6,0.014,0
SV Rheinfelden,Bundesliga,82.3,0.733,50.0,0.586,37.4,0.11,7.16,0.608,0.113,4.4,0.0231,0
KAS Dendermonde-West,Belgian Pro League,84.4,0.89,43.6,0.487,17.0,10.15,4.82,0.308,0.781,8.2,0.0016,0
FC Waldkirchen,Bundesliga,104.1,0.687,5.6,0.281,41.6,-6.49,-1.73,0.277,0.047,0.3,0.0185,0
Royal Ardennes FC,Belgian Pro League,136.2,0.835,-9.1,0.764,44.7,4.02,-5.83,0.649,0.544,5.2,0.1483,0
VV Polderkamp,Eredivisie,188.8,0.892,11.5,0.295,29.7,1.7,8.45,0.201,0.562,11.1,0.0018,0
Olympia Dollard,Eredivisie,109.7,0.95,45.5,0.551,-9.0,12.72,1.33,0.571,0.636,1.0,0.1321,0
KVC Houtland,Belgian Pro League,165.7,0.731,37.7,0.557,30.4,-9.62,-1.89,0.244,0.316,10.9,0.0126,0
RKC Zandvoort-Noord,Eredivisie,225.7,0.749,68.7,0.169,-2.0,-8.86,8.84,0.509,0.024,2.3,0.0828,0
KAS Dendermonde-West,Belgian Pro League,78.7,0.726,3.3,0.288,-3.9,13.47,-5.7,0.51,0.889,2.3,0.0044,0
Borussia Talheim,Bundesliga,59.4,0.65,17.1,0.859,35.4,-12.06,-1.15,0.631,0.929,2.3,0.0111,0
FC Walloon Rovers,Belgian Pro League,124.9,0.667,43.2,0.625,43.4,4.04,-7.83,0.611,0.482,11.2,0.0084,0
FC Waldkirchen,Bundesliga,91.1,1.021,-3.6,0.241,-8.0,-13.18,-7.5,0.543,0.021,7.2,0.9703,1
Borussia Talheim,Bundesliga,180.5,0.666,63.1,0.677,-2.2,-12.69,-2.03,0.39,0.581,9.0,0.0051,0
FC Waldkirchen,Bundesliga,175.6,1.015,34.0,0.497,35.8,2.91,3.99,0.283,0.316,4.4,0.0561,0
RKC Zandvoort-Noord,Eredivisie,172.2,0.635,-11.5,0.221,2.2,1.54,-3.22,0.518,0.182,10.5,0.0082,0
KAS Dendermonde-West,Belgian Pro League,153.4,0.894,-12.3,0.619,-11.6,2.19,3.79,0.448,0.169,7.0,0.9597,1
VfL Donaustein,Bundesliga,170.9,0.808,55.7,0.493,32.2,-0.79,6.1,0.239,0.179,7.2,0.0124,0
SC Eichberg,Bundesliga,61.5,0.923,24.6,0.367,36.3,7.27,7.55,0.678,0.331,9.0,0.0461,0
SV Rheinfelden,Bundesliga,132.6,0.863,42.0,0.757,18.2,14.77,-9.11,0.357,0.281,9.3,0.0534,0
SK Meerhout,Belgian Pro League,133.4,0.895,43.7,0.382,18.7,-6.73,5.47,0.201,0.836,8.2,0.0008,0
SV Rheinfelden,Bundesliga,117.2,1.006,13.8,0.387,3.1,-5.3,-7.06,0.651,0.495,1.4,0.6418,1
RKC Zandvoort-Noord,Eredivisie,50.8,0.859,35.1,0.417,1.7,-5.31,3.97,0.489,0.428,10.4,0.06,0
SC Lindehoven,Eredivisie,114.1,0.572,53.3,0.697,41.6,7.9,-2.57,0.567,0.146,3.1,0.0183,0
KAS Dendermonde-West,Belgian Pro League,125.8,0.672,-4.3,0.651,44.1,-4.56,4.16,0.276,0.876,12.0,0.001,0
SC Lindehoven,Eredivisie,112.7,0.905,39.8,0.785,5.3,5.3,-5.72,0.402,0.055,4.6,0.6207,1
KAS Dendermonde-West,Belgian Pro League,85.3,0.807,1.4,0.369,5.5,-1.62,2.9,0.523,0.24,1.4,0.0933,1
FC Waldkirchen,Bundesliga,96.7,0.83,3.8,0.719,4.4,3.23,-7.49,0.325,0.621,3.8,0.2369,1
AFC Kanaalstad,Eredivisie,76.1,0.864,8.4,0.595,-9.7,9.87,-6.61,0.551,0.702,6.9,0.076,0
FC Walloon Rovers,Belgian Pro League,146.8,0.72,51.5,0.385,8.6,0.42,2.29,0.317,0.801,4.7,0.0004,0
Royal Ardennes FC,Belgian Pro League,148.9,0.923,-13.1,0.209,-13.0,-0.74,-3.26,0.305,0.41,9.9,0.1643,0
Royal Ardennes FC,Belgian Pro League,159.8,0.891,19.9,0.704,33.7,-6.99,4.08,0.206,0.347,8.2,0.0748,0
VfL Donaustein,Bundesliga,43.4,0.941,25.1,0.401,0.3,0.48,3.7,0.341,0.289,2.6,0.5677,0
SK Meerhout,Belgian Pro League,219.4,0.859,2.0,0.55,28.8,-7.13,2.43,0.323,0.568,6.5,0.0516,0
VV Polderkamp,Eredivisie,220.3,0.95,54.6,0.497,17.2,10.31,4.61,0.582,0.349,9.5,0.0674,0
RKC Zandvoort-Noord,Eredivisie,152.1,0.828,58.1,0.187,38.6,-3.33,5.88,0.485,0.328,10.7,0.0043,0
VfL Donaustein,Bundesliga,135.2,1.029,-9.4,0.831,39.8,-11.13,8.23,0.289,0.017,4.7,0.89,1
Royal Ardennes FC,Belgian Pro League,186.6,0.565,1.4,0.686,18.5,-7.8,-8.39,0.484,0.948,11.1,0.0171,0
FC Nordhafen,Bundesliga,73.1,0.884,51.3,0.541,-8.1,1.04,1.43,0.313,0.061,0.4,0.3596,1
FC Waldkirchen,Bundesliga,194.3,0.872,5.8,0.596,32.0,12.49,4.98,0.413,0.271,8.1,0.0394,0
KV Scheldebrug,Belgian Pro League,168.7,0.759,-6.4,0.48,-8.2,-5.98,-5.66,0.644,0.921,9.4,0.0185,0
SC Lindehoven,Eredivisie,173.0,0.659,61.4,0.649,7.0,-7.07,-4.73,0.56,0.735,5.1,0.0054,0
SC Eichberg,Bundesliga,107.4,0.825,49.0,0.296,-8.4,-2.8,-4.66,0.526,0.578,0.1,0.0367,1
FC Waldkirchen,Bundesliga,171.8,0.699,38.4,0.459,46.2,14.03,1.45,0.341,0.661,8.2,0.0004,0
Borussia Talheim,Bundesliga,52.7,1.038,16.3,0.456,-17.8,10.36,-2.68,0.262,0.097,4.1,0.9568,1
VV Polderkamp,Eredivisie,187.9,0.688,60.6,0.458,22.3,-10.51,3.32,0.576,0.809,1.8,0.0016,0
Union Kempen,Belgian Pro League,37.9,0.663,22.6,0.538,18.9,3.41,2.2,0.484,0.25,1.9,0.0589,0
KAS Dendermonde-West,Belgian Pro League,147.5,0.821,35.7,0.279,27.8,8.76,3.14,0.511,0.956,9.2,0.0005,0
FC Walloon Rovers,Belgian Pro League,216.7,0.695,58.1,0.773,9.9,8.04,-4.95,0.688,0.231,2.2,0.0587,0
KAS Dendermonde-West,Belgian Pro League,76.7,0.604,27.0,0.237,47.7,-0.33,5.35,0.374,0.625,5.8,0.0004,0
SpVgg Lindenau,Bundesliga,210.0,0.786,31.2,0.158,33.7,6.95,3.28,0.6,0.545,11.6,0.0005,0
FC Hertenbos,Eredivisie,139.0,0.804,14.0,0.431,15.0,2.51,-7.39,0.479,0.143,9.1,0.1168,0
FC Maasdijk,Eredivisie,159.7,0.605,25.2,0.577,16.7,-8.96,-6.0,0.318,0.363,6.6,0.0787,1
FC Nordhafen,Bundesliga,213.5,0.801,33.0,0.264,38.2,-13.32,-3.98,0.226,0.781,6.3,0.0007,0
FC Walloon Rovers,Belgian Pro League,45.1,0.863,0.7,0.587,32.7,-3.92,8.72,0.508,0.213,2.0,0.2584,0
SV Rheinfelden,Bundesliga,149.2,0.922,19.7,0.649,9.4,-13.14,-3.47,0.349,0.963,5.4,0.0498,0
KVC Houtland,Belgian Pro League,96.7,0.732,40.8,0.276,11.8,-3.15,-9.6,0.548,0.295,1.7,0.1241,0
VV Polderkamp,Eredivisie,160.8,0.644,18.7,0.81,-3.6,9.87,-7.17,0.55,0.627,1.0,0.0221,0
FC Hertenbos,Eredivisie,39.8,1.065,-25.7,0.464,-14.0,10.33,-9.36,0.428,0.619,1.3,0.935,1
SpVgg Lindenau,Bundesliga,117.0,0.827,3.2,0.616,-8.4,-13.98,-1.94,0.468,0.471,7.3,0.4681,1
Borussia Talheim,Bundesliga,134.4,0.541,1.3,0.265,-1.3,-12.91,5.94,0.513,0.655,2.3,0.0016,0
SK Meerhout,Belgian Pro League,68.6,0.984,36.8,0.686,-7.3,5.1,-0.99,0.434,0.744,1.8,0.1658,0
SV Rheinfelden,Bundesliga,130.6,0.631,17.6,0.735,45.9,-0.0,6.78,0.639,0.619,10.4,0.0049,0
SK Meerhout,Belgian Pro League,118.6,0.943,3.2,0.271,32.7,-10.52,-9.05,0.238,0.56,1.5,0.0557,0
Olympia Dollard,Eredivisie,153.3,0.885,48.1,0.264,37.4,9.17,-0.61,0.69,0.607,8.5,0.0018,0
VV Polderkamp,Eredivisie,181.9,1.009,-9.4,0.347,20.2,-8.51,5.74,0.217,0.402,5.0,0.0638,0
VfL Donaustein,Bundesliga,153.7,1.02,-0.8,0.191,19.9,-12.66,3.49,0.304,0.071,6.9,0.1989,0
SC Eichberg,Bundesliga,199.2,0.64,54.8,0.789,1.6,7.49,7.06,0.554,0.16,0.3,0.0577,0
VfL Donaustein,Bundesliga,179.1,0.905,31.2,0.552,27.9,3.24,-4.52,0.242,0.607,0.0,0.0105,0
AFC Kanaalstad,Eredivisie,153.8,0.683,45.3,0.572,9.6,-3.17,0.02,0.331,0.927,9.8,0.0005,0
FC Waldkirchen,Bundesliga,142.2,0.85,48.9,0.804,18.8,5.78,3.54,0.277,0.026,5.7,0.4705,1
FC Maasdijk,Eredivisie,143.1,0.834,57.0,0.722,45.5,12.34,-6.63,0.562,0.544,0.9,0.0067,0
RFC Lysveld,Belgian Pro League,96.3,0.573,-16.1,0.737,48.5,-13.97,6.32,0.489,0.252,4.1,0.2421,0
SC Lindehoven,Eredivisie,40.5,0.573,34.0,0.466,10.2,3.83,-3.77,0.232,0.562,6.1,0.0011,0
FC Walloon Rovers,Belgian Pro League,175.9,0.538,42.9,0.385,41.5,-8.45,-8.13,0.43,0.75,1.6,0.0005,0
SC Lindehoven,Eredivisie,179.9,0.572,4.8,0.355,2.5,-0.78,5.31,0.304,0.735,6.6,0.0013,0
FC Nordhafen,Bundesliga,186.2,0.637,61.3,0.387,-4.1,-2.28,4.1,0.684,0.725,6.3,0.0011,0
SV Rheinfelden,Bundesliga,22.4,1.051,1.4,0.495,-16.8,-3.3,7.67,0.254,0.779,7.2,0.4829,0
FC Maasdijk,Eredivisie,77.5,0.823,45.1,0.317,-1.3,-9.29,7.84,0.499,0.073,9.7,0.1587,0
SV Rheinfelden,Bundesliga,119.8,0.948,28.4,0.431,26.4,9.08,-4.43,0.441,0.51,5.0,0.1955,0
AFC Kanaalstad,Eredivisie,117.5,0.971,22.1,0.49,5.8,-3.61,2.83,0.489,0.262,10.7,0.2919,0
KV Scheldebrug,Belgian Pro League,187.8,0.884,2.1,0.362,-12.4,11.62,9.98,0.678,0.921,5.7,0.012,0
KAS Dendermonde-West,Belgian Pro League,104.6,0.744,50.4,0.317,50.2,-4.36,-5.12,0.371,0.783,5.5,0.0002,0
Olympia Dollard,Eredivisie,72.6,1.005,19.1,0.469,14.9,10.19,-0.54,0.574,0.108,7.9,0.6466,1
